character	code_point	kMandarin17	CNS11643	policy
髺	U+9AFA	kuò	guà kuò yuè	kMandarin17 retained
髿	U+9AFF	suō	shā suō	kMandarin17 retained
鬂	U+9B02	bìn	bīn bìn	kMandarin17 retained
鬄	U+9B04	dí	tì	kMandarin17 retained
鬋	U+9B0B	jiǎn	jiān	kMandarin17 retained
鬌	U+9B0C	tuǒ	duǒ duò	kMandarin17 retained
鬕	U+9B15	mà	mò	kMandarin17 retained
鬞	U+9B1E	náng	nóng	kMandarin17 retained
鬠	U+9B20	kuò	kuò kuài	kMandarin17 retained
鬨	U+9B28	hòng	hòng xiàng	kMandarin17 retained
鬲	U+9B32	gé	lì gé	kMandarin17 retained
鬳	U+9B33	yàn	juàn yàn	kMandarin17 retained
鬴	U+9B34	fǔ	fǔ lì gé	kMandarin17 retained
鬵	U+9B35	qín	xín	kMandarin17 retained
鬹	U+9B39	guī	guī xī	kMandarin17 retained
鬻	U+9B3B	yù	zhù yù	kMandarin17 retained
魀	U+9B40	gà	gà jiè	kMandarin17 retained
魄	U+9B44	pò	pò tuò	kMandarin17 retained
魆	U+9B46	xū	xù	kMandarin17 retained
魏	U+9B4F	wèi	wéi wèi	kMandarin17 retained
魐	U+9B50	gān	gān jiān	kMandarin17 retained
魕	U+9B55	jǐ	jǐ qí	kMandarin17 retained
魙	U+9B59	zhān	zhān zhǎn	kMandarin17 retained
魝	U+9B5D	jié	jì jié	kMandarin17 retained
魞	U+9B5E	bā	bā bà	kMandarin17 retained
魟	U+9B5F	hóng	hōng	kMandarin17 retained
魡	U+9B61	diào	dí diào	kMandarin17 retained
魣	U+9B63	xù	xù yǔ	kMandarin17 retained
魥	U+9B65	è	què è	kMandarin17 retained
魬	U+9B6C	bǎn	bàn	kMandarin17 retained
魭	U+9B6D	yuán	àn wǎn wàn yuán	kMandarin17 retained
魮	U+9B6E	pí	bǐ pí	kMandarin17 retained
魳	U+9B73	zā	shī zā	kMandarin17 retained
魵	U+9B75	fén	fèn	kMandarin17 retained
魹	U+9B79	mó	máo	kMandarin17 retained
魺	U+9B7A	hé	gě hé	kMandarin17 retained
魽	U+9B7D	hán	hān	kMandarin17 retained
魾	U+9B7E	pī	pí	kMandarin17 retained
魿	U+9B7F	líng	lín líng	kMandarin17 retained
鮁	U+9B81	bō	bá bō	kMandarin17 retained
鮆	U+9B86	cǐ	jì	kMandarin17 retained
鮉	U+9B89	diāo	diāo chóu	kMandarin17 retained
鮊	U+9B8A	bà	bó	kMandarin17 retained
鮋	U+9B8B	yóu	chóu yóu	kMandarin17 retained
鮎	U+9B8E	nián	nián yǎn	kMandarin17 retained
鮕	U+9B95	gū	gū gǔ	kMandarin17 retained
鮘	U+9B98	dai	dài	kMandarin17 retained
鮛	U+9B9B	shū	shú shuā	kMandarin17 retained
鮝	U+9B9D	xiǎng	téng xiǎng	kMandarin17 retained
鮧	U+9BA7	tǐ	tí yí	kMandarin17 retained
鮨	U+9BA8	yì	qí	kMandarin17 retained
鮬	U+9BAC	kū	kū kù	kMandarin17 retained
鮭	U+9BAD	guī	guī xié	kMandarin17 retained
鮮	U+9BAE	xiān	xiān xiǎn	kMandarin17 retained
鮯	U+9BAF	gé	gé hé	kMandarin17 retained
鮸	U+9BB8	miǎn	miǎn wǎn	kMandarin17 retained
鮺	U+9BBA	zhǎ	zhǎ zǎ	kMandarin17 retained
鯅	U+9BC5	shān	shān shěn	kMandarin17 retained
鯆	U+9BC6	pū	bū pū fǔ	kMandarin17 retained
鯈	U+9BC8	tiáo	chóu yóu	kMandarin17 retained
鯏	U+9BCF	lí	lì	kMandarin17 retained
鯖	U+9BD6	zhēng	qīng zhēng	kMandarin17 retained
鯭	U+9BED	měng	měng mèng	kMandarin17 retained
鯯	U+9BEF	zhì	jì zhì	kMandarin17 retained
鯵	U+9BF5	shēn	shēn sāo	kMandarin17 retained
鯶	U+9BF6	huàn	huàn wán wǎn	kMandarin17 retained
鯽	U+9BFD	zéi	jì	kMandarin17 retained
鰀	U+9C00	huàn	huàn wán wǎn	kMandarin17 retained
鰂	U+9C02	zéi	zé	kMandarin17 retained
鰌	U+9C0C	qiū	qiū qiú yóu	kMandarin17 retained
